ID,Feed,Sentiment
1, اربد فيها جامعات اكثر من عمان ... وفيها قد عمان ونص لعيبه المنتخب منها ... و 80 % من مطربين الاردن منها,Positive
2, الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,Negative
3, كله رائع بجد ربنا يكرمك,Positive
4, لسانك قذر يا قمامه,Negative
5,​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,Negative
6,ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,Positive
7,ابو الشباب راعي العود ليش ماوزنه في البيت غباء,Negative
8,ابو معيتق قطع اوتار العود وقال السلام عليكم,Negative
9,اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين,Positive
10,اترك ما تهوى لاجل من تخشى,Positive
11,اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,Negative
12,اتفه على هيك برنامج عالمي,Negative
13,اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,Negative
14,اجتماع حواء اكيد في خرفنه ,Negative
15,اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,Negative
16,احب الله تعالى و رسوله الكريم,Positive
17,احتمال ما يشارك الليو البايخ,Negative
18,احذفه لاني بجلس احش فيهم لمين اكفر,Negative
19,احس انه يفطر حشيش,Negative
20,احسن اظن بالله وتوكل عليه وحده,Positive
21,احسن شيء العمل الذي يؤدي للاستمراريه,Positive
22,احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,Positive
23,احسنت كلام دقيق جدا,Positive
24,احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم ,Positive
25,احقر من هيك خيانه ما في,Negative
26,احلى اشي الواحد يوكل بدون ما يطبخ,Positive
27,احلى اشي في الحياه الاستقرار مع زوج صالح,Positive
28,احلى شىء النهايه الباقيه صح كلامك,Positive
29,احلى صباح من احلى شيخ في العالم,Positive
30,احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.,Negative
31,احيانا الوحده تزيل بعضا من الهموم,Positive
32,احيانا يكون الفشل دافع للنجاح,Positive
33,اخ يا بطني عورني من الضحكك,Negative
34,اخبار مسخره,Negative
35,اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,Negative
36,اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,Negative
37,اخر واحد مهستر,Negative
38,اخرس صحيح ما تفهم,Negative
39,ادعي من الله ان يقوني علي طاعته,Positive
40,اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي ,Positive
41,اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا ?احبك ربى,Positive
42,اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل,Negative
43,اذا شعرت بشيء من حالات الاحباط والملل فجرّب العمل التطوعي,Positive
44,اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,Positive
45,"اذا فكرت مره تخسر اصحابك يا ليت تخسّرهم على احد يستاهل، صح الحياه تعطيك ميه حُب بس الحياه ما تهديك اصّحاب مرتيّن",Negative
46,اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه,Negative
47,اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله,Negative
48,"اذا كنّا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه!",Negative
49,اذا لم تقل لا للظلم فسيستمر الى الابد,Positive
50,اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك,Negative
51,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك,Positive
52,ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم,Negative
53,ارحمونا من الجوكر,Negative
54,اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا,Positive
55,اسال الله ان يرزقني من يدعو لي في ظهر الغيب,Positive
56,اسال الله عزوجل له الثبات,Positive
57,اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون,Positive
58,اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير,Positive
59,اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم,Positive
60,استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه,Positive
61,استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز,Negative
62,استخفف من لجنه التحكيم,Negative
63,استعينوا بالله يا مسلمين,Positive
64,استغفر الله مجانين يروحون سوبر ستار,Negative
65,استهبال باستهبال,Negative
66,استودعكم الله الذي لا تضيع ودائعه,Positive
67,اسخف لجنه تحكيم شفتها بحياتي,Negative
68,اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين,Negative
69,اسعد الله صباحكم علامتنا بالخيرات,Positive
70,اسفل من بعضهم,Negative
71,اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك.,Negative
72,اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف,Positive
73,اسوا شعب الله في الكوميديا,Negative
74,اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل,Positive
75,اشداء على الكفار رحماء بينهم,Positive
76,اشرب من كاس المر,Negative
77,اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين,Positive
78,اشي بقهر مش لا هل درجه,Negative
79,اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور,Positive
80,اصدقاء اوفياء ونتعلم منهم,Positive
81,اصلا ابو وديع لو كان اجا كان خسر,Negative
82,"اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات",Negative
83,اصلا سوبر ستار للعاهات,Negative
84,اصلا كتير من البنات بدهن يحكن مع الشباب,Negative
85,اصلا هدا يمسى مرض الرهاب الاجتماعي,Negative
86,اصلن صاحب البرنامج ماخذ شباب الامه مصخره,Negative
87,اصواتهم مع التوتر خربت,Negative
88,اضحك امام كل الناس لتسرهم تجبر خواطرهم فتبسمك في وجوههم صدقه,Positive
89,اضحك تضحكلك الدني,Positive
90,اضحك وفرفش لكن  بحب واداب اعرف حدود المزح واعرف محله,Positive
91,اطالب برحيل هذه الحكومه,Negative
92,اطفال اليوم رجال الغد ومستقبل الامه,Positive
93,اطمئن يا قلبى فرزقى لا ياخذه غيرى,Positive
94,اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها اللهم لاشماته,Negative
95,اعطيه علي راسي هدا الصح ياحاجه الله اكبر,Negative
96,اعلن الانسحاب يا حمار,Negative
97,اعمل ليومك غدك كن متفائلا دائما يا صاحبي,Positive
98,اعنكم الله تقبل منكم يسر طريقكم,Positive
99,اغرورقت عيناي بالدموع,Negative
100,افتخر اني مسلم نعمه من نعم ربي,Positive
101,افشو السلام بينكم,Positive
102,افعال لا تضاهيها اقوال,Positive
103,افلام الرعب تاثر على اطفالنا,Negative
104,اقترح تحويلهم الى طبيب نفسي ليس الى القضاء,Negative
105,اقرفني شعر تقول حاط دبر امل وجاي,Negative
106,اقرفني والله,Negative
107,اقسم بالله ان العرب اكثر الشعوب تخلفا,Negative
108,اقسم بالله انه منتهيي,Negative
109,اقسم بالله قرف المريض نفسيا للابد يبقى مريض نفسيا,Negative
110,اقطع راسها وخلص,Negative
111,اقل من عادي هذا مستواك اقلب وجهك,Negative
112,اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله,Negative
113,اكبر مشروع طاقه شمسيه بالعالم...في الاردن اسمه شمس معان..حفظ الله الاردن,Positive
114,"اكبر مشكله تواجهكك في الاردن ؛ اذا طلعت من الدار شبعان ، بتعرفش وين تروح",Negative
115,اكثر بني ادم يعاني في الحياه هو المغترب بين الاردن والسعوديه لا اللي هنا فاهين عليه ولا اللي هناك والكل ما بحبو,Negative
116,اكرمك الله يا استاذي الفاضل,Positive
117,اكيد الله لا يحرمنا من هالنعمه العظيمه,Positive
118,اكيد بقرف,Negative
119,اكيد جزاك الله خيرا,Positive
120,اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان,Negative
121,اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا,Positive
122,اكيد لا في عندك ناس بتفهم ووفي ناس عند الاجانب ما بتفهم,Negative
123,اكيد ماحدا بيقدر يارب اعن الفقراء واعنا مساعدتهم,Positive
124,"الاْردن تعدّل المناهج: تقليصا في الاستشهاد بايات قرانيه واحاديث نبويه، وبدلا من ذلك تمّ اعتماد دروس اقرب الى اخلاق الحياه اليوميه للطالب",Negative
125,الا لعنه الله على الشيعه الى يوم الدين,Negative
126,الا يكفي ان نسبه مرضى السرطان في الاردن اعلى نسبه عالميه بسبب مفاعل دايمونه الاسرائيلي بكل جهل نضعهه في بلدنا,Negative
127,الابتسامه كلمه طيبه بدون حروف,Positive
128,الاخلاص اللهم انا نسالك الاخلاص فى القول العمل السر العلن,Positive
129,الاردن كان افضل حالا بمئات المرات في التعليم و الصحه و الزراعه و الاستثمار ... التردي ليس مرتبط بالربيع العربي بل قبله بمده عام,Negative
130,الاردن كثير حلوه من كل النواحي.. طبيعه و معالم و اثار,Positive
131,الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانه او تشغيل المفاعلات النوويه لاردن ليس لديها سوى شهادات دكتوراه في هذا المجال نظريه بحته ان انشاء مفاعل نووي يعنى مقامره كامله بمئات الملاييين المضحك في الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئه الطاقه النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات علاوه على ان كل هيئه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي يا ساده ان يتم طرح انشاء شركه للتنقيب عن اليورانيوم وبيعه لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول بكميات على الاقل تكفي استهلكنا المحلي,Negative
132,الاردن لديه الخبره في مجال اداره الموارد البشريه واستخدام هذه الامكانيات بافضل مايمكن لتوجيه اقتصاد الدوله,Positive
133,الاردن هذا الي كله فخر واعتزاز لمدح مشروع الطاقه الشمسيه في الديوان الملكي كيف شعوره لو المشروع طاقه نوويه ؟! شو علاقه الفخر والاعتزاز ؟!,Negative
134,الارواح جنود مجنده من تعارف منها اتلف ومن تنافر منها اختلف,Positive
135,الاسف  مافي اي حدا بتحمل الانتقاد ,Negative
136,الاسلام نعمه كبيره من عند ربنا لا تقدر بكنوز الدنيا كلها,Positive
