id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1510326473940422663,1510326473940422663,2022-04-02 21:41:06 EEST,2022-04-02,21:41:06,+0300,2166427412,hoseinmortada,hoseinmortada حسين مرتضى,,#بينيت من العام الماضي قدّم ل #بايدن خطة الف طعنة لتدمير #ايران  يبدو ان خطة السكين والف طعنة اصبحت بداخل كيان الاحتلال الاسرائيلي  خطة #بينيت انقلبت عليه  #الكيان_المؤقت  https://t.co/lKD5QGyjZR,ar,[],[],['https://pbs.twimg.com/media/FPXB5MBXIAo3JHD.jpg'],1,12,123,"['بينيت', 'بايدن', 'ايران', 'بينيت', 'الكيان_المؤقت']",[],https://twitter.com/HoseinMortada/status/1510326473940422663,False,,1,https://pbs.twimg.com/media/FPXB5MBXIAo3JHD.jpg,,,,,,,[],,,,
1510285851770728462,1510285851770728462,2022-04-02 18:59:41 EEST,2022-04-02,18:59:41,+0300,740455593924759553,hanadygerges,هنادي جرجس - Hanady gerges,,الفكرة وين ، انو قاعدين يحكو عن احتلال ايراني ( يلي مش موجود) وسوري ( يلي الدولة اللبنانية طلبت التدخل لذلك مش اسمه هيك) وهني ضد كل انواع الاحتلال ومع الانسان ، بس ولا نص كلمة عن الاحتلال الاسرائيلي ولا عن هجمتيه ولا شي!  عرفتوا الفكرة وين؟,ar,[],[],[],4,12,217,[],[],https://twitter.com/HanadyGerges/status/1510285851770728462,False,,0,,,,,,,,[],,,,
1510188552889544707,1510188552889544707,2022-04-02 12:33:03 EEST,2022-04-02,12:33:03,+0300,1227539150,a1aanasr,Abo Ali Nasr,,السيد #هاشم_صفيّ_الدين #حزب_الله بسلاحه وشهدائه ومجاهديه حمى البلد وطرد الإحتلال الإسرائيلي، مؤكّدا أنّه لو لم يكن هذا السلاح لكنتم جميعًا في #لبنان ليس تحت وطأة السلاح، بل تحت الجزمة الإسرائيليّة #تحت_الجزمة🙂,ar,[],[],[],0,12,119,"['هاشم_صفيّ_الدين', 'حزب_الله', 'لبنان', 'تحت_الجزمة']",[],https://twitter.com/a1aanasr/status/1510188552889544707,False,,0,,,,,,,,[],,,,
1510159262579892230,1510159262579892230,2022-04-02 10:36:40 EEST,2022-04-02,10:36:40,+0300,775719754443128832,saad_turkmeni,سَعْد التركماني,,الإحتلال الإسرائيلي يُعدم ثلاث من الفلسطينيين في أول يوم من رمضان ..  المجرم الصهيوني لا يراعي حُرمة الزمان ولا المكان ، قاتلهم الله  https://t.co/0CeEZKKjwv,ar,[],[],['https://pbs.twimg.com/media/FPUp2KYWUAUfbc_.jpg'],22,89,333,[],[],https://twitter.com/Saad_turkmeni/status/1510159262579892230,False,,1,https://pbs.twimg.com/media/FPUp2KYWUAUfbc_.jpg,,,,,,,[],,,,
1510059251850526722,1510059251850526722,2022-04-02 03:59:15 EEST,2022-04-02,03:59:15,+0300,962811304481312769,newpressps,Newpress | نيو برس,,الشبان الذين تم اغتيالهم اليوم في #عرابة قضاء #جنين من قبل قوة خاصة تتبع لجيش الاحتلال الإسرائيلي.  الشهـيد خليل طوالبة  الشهـيد صائب عباهرة الشهـيد سيف ابو لبدة  https://t.co/NaVEDXtfjT,ar,[],[],['https://pbs.twimg.com/media/FPTO0ALXIAQi5Pb.jpg'],0,48,110,"['عرابة', 'جنين']",[],https://twitter.com/NewpressPs/status/1510059251850526722,False,,1,https://pbs.twimg.com/media/FPTO0ALXIAQi5Pb.jpg,,,,,,,[],,,,
1510036879063855106,1510036879063855106,2022-04-02 02:30:21 EEST,2022-04-02,02:30:21,+0300,400240425,jhelles,جهاد حِلِّس,,الجيش الاسرائيلي يعدم قبل قليل ثلاثة شباب في أول أيام شهر رمضان المبارك، ويمنع إسعافهم، ويتركهم ينزفون حتى الموت ! هذا الاحتلال المجرم السفاح، لا يعرف حرمة لزمان، ولا حرمة لمكان، ولا حرمة لإنسان ! ثم يأتي من يدافع عنهم من منافقي العرب، إذا قام الفلسطيني بالدفاع عن أرضه وعرضه !,ar,[],[],[],68,523,1988,[],[],https://twitter.com/jhelles/status/1510036879063855106,False,,0,,,,,,,,[],,,,
1510025241409601538,1510025241409601538,2022-04-02 01:44:07 EEST,2022-04-02,01:44:07,+0300,1013380972195336192,ahmedhijazee,الحاجز 𓂆🇵🇸,,"في فجر أول أيام شهر رمضان المبارك 🇵🇸  قوات الاحتلال الإسرائيلي ترتكب مجزرة جديدة بحق الفلسطينيين في جنين , والأنباء تتحدث عن شهيدين حتى اللحظة وإصابات .",ar,[],[],[],0,22,298,[],[],https://twitter.com/ahmedhijazee/status/1510025241409601538,False,,0,,,,,,,,[],,,,
1510011604213055494,1510011604213055494,2022-04-02 00:49:55 EEST,2022-04-02,00:49:55,+0300,1262027303128903681,rd_fas1,الرادع المغربي 🇲🇦🇵🇸,,الغربان من اكثر الطيور ذكاءًا لن يمزقوا علم الاحتلال الاسرائيلي صدفة  https://t.co/APBbihDW0Y,ar,[],[],[],15,87,349,[],[],https://twitter.com/Rd_fas1/status/1510011604213055494,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1510011576878784517/pu/img/xq8-ZtSRomJo5vEa.jpg,,,,,,,[],,,,
1509945489264893959,1509945489264893959,2022-04-01 20:27:12 EEST,2022-04-01,20:27:12,+0300,962811304481312769,newpressps,Newpress | نيو برس,,#متابعة  مصادر عبرية: قتيل وإصابة حرجة من جيش الاحتلال جراء عملية دهس لعدد من جنود جيش الاحتلال الإسرائيلي شمال الضفة.  #ترجمة_نيو_برس,ar,[],[],[],5,46,258,"['متابعة', 'ترجمة_نيو_برس']",[],https://twitter.com/NewpressPs/status/1509945489264893959,False,,0,,,,,,,,[],,,,
1509944317732868106,1509944317732868106,2022-04-01 20:22:33 EEST,2022-04-01,20:22:33,+0300,962811304481312769,newpressps,Newpress | نيو برس,,#عاجل  مصادر عبرية: عملية دهس لجنود جيش الاحتلال الإسرائيلي شمال الضفة.  #ترجمة_نيو_برس,ar,[],[],[],2,30,262,"['عاجل', 'ترجمة_نيو_برس']",[],https://twitter.com/NewpressPs/status/1509944317732868106,False,,0,,,,,,,,[],,,,
